1	72	183.107.54.132	Android	Chrome/30.0.0.0	01시 06분 20초	Direct Contact (Typing or Bookmark)
1	71	39.115.234.135	Windows Vista	Chrome/36.0.1985.125	01시 01분 25초	http://blog.naver.com/PostList.nhn?blogId=loosfly&from=postList&categoryNo=8
1	70	208.115.113.87	Search Robot	www.opensiteexplorer.org	00시 52분 20초	Direct Contact (Typing or Bookmark)
1	69	58.234.97.182	Android	Chrome/30.0.0.0	00시 52분 05초	http://m.search.naver.com/search.naver?sm=mtb_hty.top&where=m&query=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC%EC%9D%B4
1	68	182.218.41.31	Windows XP	Internet Explorer 7.0	00시 42분 02초	Direct Contact (Typing or Bookmark)
1	67	69.171.234.118	Search Robot	www.facebook.com	00시 39분 53초	Direct Contact (Typing or Bookmark)
1	66	69.171.234.113	Search Robot	www.facebook.com	00시 38분 30초	Direct Contact (Typing or Bookmark)
1	65	69.171.234.116	Search Robot	www.facebook.com	00시 38분 30초	Direct Contact (Typing or Bookmark)
2	64	39.7.48.80	Android	Gecko	00시 36분 10초	http://m.facebook.com/l.php?u=http%3A%2F%2Fwww.loosfly.com%2Fshop%2Fboard%2Fview.php%3Fid%3Dstories%26no%3D10&h=DAQE4lUBl&s=1&enc=AZPIAVlkY0JMh_gSgFWSwapekF8rrf_RGZWTmrZcNtoD-bF538Xb_mE0wAmOXU3WUZzuQcec3j2RutlNV-aCGdNjzeoUXDW9c4_OM_m-pLboYg
2	63	211.39.150.195	Search Robot	www.google.com	00시 22분 43초	Direct Contact (Typing or Bookmark)
2	62	211.109.218.14	Windows 7	Gecko	00시 09분 42초	Direct Contact (Typing or Bookmark)
2	61	1.245.21.170	Windows 7	Internet Explorer 7.0	00시 09분 27초	http://search.daum.net/nate?thr=sbma&w=tot&q=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC%EC%9D%B4
2	60	112.133.27.188	Android	Gecko	00시 07분 35초	http://blog.naver.com/PostView.nhn?blogId=loosfly&logNo=220038545398&beginTime=0&jumpingVid=&from=search&redirect=Log&widgetTypeCall=true&topReferer=http%3A%2F%2Fsearch.naver.com%2Fsearch.naver%3Fwhere%3Dnexearch%26query%3D%25EC%2584%25B1%25EC%259D%25B8%2
2	59	157.55.39.73	Search Robot	www.bing.com	00시 07분 28초	Direct Contact (Typing or Bookmark)
2	58	23.251.158.8	Search Robot		00시 04분 22초	Direct Contact (Typing or Bookmark)
2	57	175.126.176.13	unknown		00시 03분 27초	Direct Contact (Typing or Bookmark)
2	56	121.138.115.14	Mac OS	Gecko	00시 01분 51초	https://m.facebook.com
2	55	125.31.155.105	Mac OS	Gecko	23시 59분 38초	http://m.search.naver.com/search.naver?where=m&sm=mob_sug.sch&query=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC%EC%9D%B4&acq=%EB%A3%A8%EC%8A%A4%ED%94%8C&acr=1&qdt=0
2	54	211.234.201.72	Android	Gecko	23시 52분 19초	http://m.search.naver.com/search.naver?where=m&query=%ED%98%84%EB%8C%80%EB%AC%B4%EC%9A%A9%EB%B3%B5&sm=mtb_she&qdt=0
2	53	1.11.76.147	Android	Chrome/30.0.0.0	23시 51분 20초	http://m.search.naver.com/search.naver?where=m&sm=mob_hty.idx&query=%EB%B0%9C%EB%A0%88%EC%97%B0%EC%8A%B5%EB%B3%B5&acq=&acr=&qdt=1
2	52	203.171.189.161	Android	Gecko	23시 50분 46초	http://m.search.daum.net/search?w=tot&nil_profile=suggest&DA=IHPV&q=%EB%AC%B4%EC%9A%A9%EC%97%B0%EC%8A%B5%EB%B3%B5&rq=&sq=%EB%AC%B4%EC%9A%A9%EC%97%B0%EC%8A%B5%EB%B3%B5&o=2
2	51	61.77.205.143	Mac OS	Gecko	23시 49분 13초	http://m.search.naver.com/search.naver?where=m_site&sm=mtb_nmr&query=%EB%A0%88%EC%98%A4%ED%83%80%EB%93%9C&qt=df&start=1&catn=1&xc=&h=&nxhot=0&frm=mr&ctgids=&sort=0&cz=0&ie=utf8
2	50	180.67.237.139	Mac OS	Gecko	23시 37분 17초	https://www.google.co.kr/
2	49	118.32.108.234	Windows 7	Gecko	23시 11분 08초	Direct Contact (Typing or Bookmark)
2	48	218.38.115.199	Windows NT	Gecko	23시 06분 47초	http://search.naver.com/search.naver?where=nexearch&query=%ED%98%84%EB%8C%80%EB%AC%B4%EC%9A%A9%EB%B3%B5&ie=utf8&sm=tab_she&qdt=0
2	47	39.7.45.99	Mac OS	Gecko	23시 04분 56초	http://m.search.naver.com/search.naver?query=%ED%98%84%EB%8C%80%EB%AC%B4%EC%9A%A9+%EC%97%B0%EC%8A%B5%EB%B3%B5&where=m&sm=mtp_hty
2	46	59.19.121.17	Android	Gecko	23시 01분 32초	http://m.search.naver.com/search.naver?where=m_site&sm=mtb_nmr&query=%EB%A0%88%EC%98%A4%ED%83%80%EB%93%9C&qt=df&start=1&catn=1&xc=&h=&nxhot=0&frm=mr&ctgids=&sort=0&cz=0&ie=utf8
2	45	203.170.109.24	Windows XP	Internet Explorer 7.0	22시 55분 47초	http://web.search.naver.com/search.naver?where=site&sm=tab_pge&srcharea=0&query=%EB%AC%B4%EC%9A%A9%EB%B3%B5&start=11&ctgids=&display=10&sort=1&cz=0&ie=utf8&
2	44	175.223.21.52	Android	Chrome/30.0.0.0	22시 50분 12초	http://m.blog.naver.com/loosfly/220038545398
2	43	180.233.225.156	Windows 7	Gecko	22시 43분 30초	http://search.naver.com/search.naver?where=nexearch&query=%ED%98%84%EB%8C%80%EB%AC%B4%EC%9A%A9%EB%B3%B5&ie=utf8&sm=tab_she&qdt=0
2	42	211.187.19.122	Android	Gecko	22시 24분 51초	Direct Contact (Typing or Bookmark)
2	41	117.111.4.69	Android	Chrome/30.0.0.0	22시 17분 58초	http://m.search.naver.com/search.naver?where=m_site&sm=mtb_nmr&query=%EB%A0%88%EC%98%A4%ED%83%80%EB%93%9C&qt=df&start=1&catn=1&xc=&h=&nxhot=0&frm=mr&ctgids=&sort=0&cz=0&ie=utf8
