1	53	110.70.52.107	Android	Gecko	17시 10분 06초	http://m.search.naver.com/search.naver?where=m&query=%ED%98%84%EB%8C%80%EB%AC%B4%EC%9A%A9%EB%B3%B5&sm=mob_sly.hst&acr=1&acq=&qdt=0
1	52	14.55.171.120	Android	Chrome/28.0.1500.94	16시 53분 16초	http://m.search.daum.net/search?w=tot&nil_mtopsearch=suggest&DA=UMEF&q=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC%EC%9D%B4&rq=&sq=%EB%A3%A8%EC%8A%A4%ED%94%84&o=1
1	51	124.53.180.135	Android	Gecko	16시 44분 57초	http://m.map.naver.com/siteview.nhn?code=32990812&ret_url=http%3A%2F%2Fm.search.naver.com%2Fsearch.naver%3Fwhere%3Dm%26query%3D%25EB%25A0%2588%25EC%2598%25A4%25ED%2583%2580%25EB%2593%259C%2B%25ED%258C%258C%25EB%258A%2594%2B%25EA%25B3%25B3%26sm%3Dmsv_nex%2
1	50	203.226.199.239	Mac OS	Gecko	16시 41분 36초	http://m.search.naver.com/search.naver?where=m_site&sm=mtb_nmr&query=%EB%A0%88%EC%98%A4%ED%83%80%EB%93%9C&qt=df&start=1&catn=1&xc=&h=&nxhot=0&frm=mr&ctgids=&sort=0&cz=0&ie=utf8
1	49	59.17.19.236	Android	Gecko	16시 27분 59초	Direct Contact (Typing or Bookmark)
1	48	92.249.127.111	Search Robot		16시 01분 13초	http://timetorelax.biz/
1	47	175.223.9.85	Android	Chrome/18.0.1025.308	15시 49분 31초	http://m.facebook.com/l.php?u=http%3A%2F%2Fwww.loosfly.com%2Fshop%2Fgoods%2Fgoods_view.php%3Fgoodsno%3D6%26category%3D003&h=iAQHwa1e2&s=1
1	46	223.62.180.126	Android	Gecko	15시 29분 52초	http://m.facebook.com/l.php?u=http%3A%2F%2Fwww.loosfly.com%2Fshop%2Fgoods%2Fgoods_view.php%3Fgoodsno%3D12%26category%3D003&h=jAQFIPtTT&s=1&enc=AZN35ZM9tNFQYfNB9qk_akLr4Fe3eAgjAnHtg0G9gSf1unN2pblT5uU-0-MEOGr_m48
1	45	112.198.90.61	Mac OS	Gecko	15시 14분 13초	https://m.facebook.com
1	44	39.118.152.58	Windows 7	Internet Explorer 7.0	15시 06분 44초	http://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&ie=utf8&query=loosfly&x=0&y=0
1	43	117.111.5.160	Android	Gecko	15시 06분 26초	http://m.search.naver.com/search.naver?query=loosfly&where=m&sm=mtp_sly.hst&acr=2
1	42	82.193.99.33	Windows XP	Internet Explorer 6.0	15시 00분 26초	http://gcup.ru/forum/
1	41	112.175.101.212	unknown	unknown	14시 22분 17초	Direct Contact (Typing or Bookmark)
1	40	223.62.173.194	Android	Gecko	14시 04분 47초	http://m.facebook.com/l.php?u=http%3A%2F%2Fwww.loosfly.com%2Fshop%2Fgoods%2Fgoods_view.php%3Fgoodsno%3D12%26category%3D003&h=qAQF_GsEL&s=1&enc=AZM2_fpHvsyyd5ertmIIERfOAIE2z_G2yi0c98xFIFRfZA908KozUWABhpmAjj1BgLg
1	39	211.36.147.179	Android	Gecko	14시 01분 19초	http://m.search.naver.com/search.naver?query=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC%EC%9D%B4&where=m&sm=mtp_hty
1	38	58.231.44.102	Android	Gecko	13시 43분 12초	Direct Contact (Typing or Bookmark)
2	37	109.120.157.179	unknown	unknown	13시 34분 01초	http://igru-xbox.net/
2	36	121.138.49.29	Windows 7	Internet Explorer 7.0	13시 25분 35초	Direct Contact (Typing or Bookmark)
2	35	121.169.191.107	Mac OS	Gecko	12시 44분 19초	https://m.facebook.com
2	34	117.111.4.136	Android	Gecko	12시 27분 50초	Direct Contact (Typing or Bookmark)
2	33	14.55.175.207	Mac OS	Gecko	12시 05분 49초	https://m.facebook.com
2	32	198.27.66.76	Search Robot	www.meanpath.com	12시 01분 50초	Direct Contact (Typing or Bookmark)
2	31	69.171.247.113	Search Robot	www.facebook.com	11시 50분 15초	Direct Contact (Typing or Bookmark)
2	30	14.52.176.246	Mac OS	Gecko	11시 50분 15초	https://m.facebook.com
2	29	220.85.91.36	Windows XP	Internet Explorer 7.0	11시 40분 56초	http://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&ie=utf8&query=%ED%98%84%EB%8C%80%EB%AC%B4%EC%9A%A9%EB%B3%B5
2	28	110.70.53.171	Android	Gecko	11시 39분 29초	Direct Contact (Typing or Bookmark)
2	27	125.209.237.56	Windows XP	Internet Explorer 7.0	11시 13분 23초	Direct Contact (Typing or Bookmark)
2	26	134.249.48.156	Windows XP	Opera/8.01	11시 06분 36초	http://komputernaya-pomosh-moscow.ru/
2	25	121.184.237.88	Android	Gecko	11시 03분 27초	http://m.search.daum.net/search?w=site&lpp=10&q=%EB%A0%88%EC%98%A4%ED%83%80%EB%93%9C
2	24	112.216.240.227	Windows 7	Internet Explorer 10.0	10시 51분 01초	Direct Contact (Typing or Bookmark)
2	23	157.55.33.103	Search Robot	www.bing.com	10시 46분 51초	Direct Contact (Typing or Bookmark)
2	22	39.7.49.163	Android	Gecko	10시 43분 25초	Direct Contact (Typing or Bookmark)
2	21	157.55.32.102	Search Robot	www.bing.com	10시 41분 33초	Direct Contact (Typing or Bookmark)
2	20	46.118.152.240	Windows 95	Internet Explorer 2.0	10시 36분 45초	http://koldovko.com/
2	19	46.118.152.240	Windows 95	Internet Explorer 2.0	10시 36분 45초	http://lenterda.net/
2	18	69.171.246.116	Linux	Chrome/31.0.1650.57	09시 58분 13초	Direct Contact (Typing or Bookmark)
2	17	69.171.246.112	Linux	Chrome/31.0.1650.57	09시 57분 34초	Direct Contact (Typing or Bookmark)
2	16	69.171.246.114	Linux	Chrome/31.0.1650.57	09시 57분 10초	Direct Contact (Typing or Bookmark)
2	15	31.13.98.114	Linux	Chrome/31.0.1650.57	09시 57분 00초	Direct Contact (Typing or Bookmark)
2	14	69.171.245.1	Linux	Chrome/31.0.1650.57	09시 57분 00초	Direct Contact (Typing or Bookmark)
2	13	69.171.245.7	Linux	Chrome/31.0.1650.57	09시 56분 58초	Direct Contact (Typing or Bookmark)
2	12	14.63.52.168	Mac OS	Gecko	09시 55분 56초	Direct Contact (Typing or Bookmark)
