1	37	219.249.146.179	Android	Chrome/30.0.0.0	02시 31분 10초	http://m.search.naver.com/search.naver?sm=mtb_hty.top&where=m&query=%EC%97%B0%EC%8A%B5%EB%B3%B5
1	36	61.73.55.155	Mac OS	Gecko	02시 30분 25초	https://m.facebook.com
1	35	157.56.92.164	Search Robot	www.bing.com	01시 54분 56초	Direct Contact (Typing or Bookmark)
1	34	115.20.162.44	Android	Chrome/30.0.0.0	01시 54분 53초	http://m.search.naver.com/search.naver?where=m_site&sm=mtb_nmr&query=%EB%AC%B4%EC%9A%A9%EB%B3%B5&qt=df&start=1&catn=1&xc=&h=&nxhot=0&frm=mr&ctgids=&sort=0&cz=0&ie=utf8
1	33	211.210.150.18	Android	Chrome/28.0.1500.94	01시 31분 27초	Direct Contact (Typing or Bookmark)
1	32	211.39.150.195	Search Robot	www.google.com	01시 24분 44초	Direct Contact (Typing or Bookmark)
1	31	58.122.52.96	Mac OS	Gecko	01시 23분 48초	Direct Contact (Typing or Bookmark)
1	30	157.55.35.51	Search Robot	www.bing.com	01시 21분 44초	Direct Contact (Typing or Bookmark)
1	29	95.108.154.252	Search Robot	yandex.com	01시 11분 00초	Direct Contact (Typing or Bookmark)
1	28	14.45.102.145	Android	Gecko	01시 06분 49초	http://m.search.naver.com/search.naver?sm=mtb_sug.top&where=m&query=%EB%AC%B4%EC%9A%A9+%EC%97%B0%EC%8A%B5%EB%B3%B5&qdt=0&acq=%EB%AC%B4%EC%9A%A9+&acr=3
1	27	124.80.25.117	Mac OS	Gecko	00시 39분 09초	http://m.search.naver.com/search.naver?where=m_site&sm=mtb_nmr&query=%EB%AC%B4%EC%9A%A9%EB%B3%B5&qt=df&start=1&catn=1&xc=&h=&nxhot=0&frm=mr&ctgids=&sort=0&cz=0&ie=utf8
1	26	211.246.78.158	Mac OS	Gecko	00시 34분 54초	Direct Contact (Typing or Bookmark)
1	25	175.197.130.243	Android	Gecko	00시 31분 23초	http://m.search.naver.com/search.naver?where=m&sm=mwg_hty&query=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC%EC%9D%B4&acq=&acr=&qdt=1
1	24	175.223.26.77	Android	Gecko	00시 18분 22초	Direct Contact (Typing or Bookmark)
2	23	218.148.16.9	Mac OS	Gecko	00시 14분 23초	https://m.facebook.com
2	22	23.236.61.191	Search Robot		23시 44분 45초	Direct Contact (Typing or Bookmark)
2	21	66.249.74.3	Search Robot	www.google.com	23시 30분 56초	Direct Contact (Typing or Bookmark)
2	20	59.0.192.237	Windows 7	Internet Explorer 9.0	23시 21분 31초	http://search.daum.net/search?nil_suggest=sugsch&w=tot&DA=IHPV&sq=%EB%AC%B4%EC%9A%A9%EB%B3%B5&o=6&sugo=15&q=%ED%98%84%EB%8C%80%EB%AC%B4%EC%9A%A9%EB%B3%B5
2	19	1.241.88.136	Windows 7	Internet Explorer 7.0	23시 19분 55초	http://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&ie=utf8&query=%ED%98%84%EB%8C%80%EB%AC%B4%EC%9A%A9%EB%B3%B5&x=0&y=0
2	18	61.255.58.145	Android	Gecko	23시 01분 08초	http://m.search.naver.com/search.naver?where=m&query=%ED%98%84%EB%8C%80%EB%AC%B4%EC%9A%A9%EB%B3%B5&sm=mtb_she&qdt=0
2	17	222.251.203.55	Windows 7	Gecko	22시 58분 59초	http://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&ie=utf8&query=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC%EC%9D%B4&x=0&y=0
2	16	1.232.39.113	Android	Gecko	22시 56분 30초	http://m.search.naver.com/search.naver?sm=mtb_sly.hst&where=m&query=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC%EC%9D%B4&acr=5
2	15	220.94.131.90	Android	Gecko	22시 48분 56초	http://m.search.naver.com/search.naver?sm=mtb_sug.top&where=m&query=%EB%AC%B4%EC%9A%A9+%EC%97%B0%EC%8A%B5%EB%B3%B5&qdt=0&acq=%EB%AC%B4%EC%9A%A9%EC%97%B0%EC%8A%B5&acr=1
2	14	121.161.90.120	Mac OS	Gecko	22시 44분 02초	http://m.search.naver.com/search.naver?where=m&sm=mob_hty.idx&query=%ED%98%84%EB%8C%80%EB%AC%B4%EC%9A%A9%EB%B3%B5&acq=&acr=&qdt=1
2	13	66.249.79.108	Search Robot	www.google.com	22시 29분 58초	Direct Contact (Typing or Bookmark)
2	12	211.186.90.61	Windows 7	Internet Explorer 8.0	22시 23분 13초	http://search.naver.com/search.naver?where=nexearch&sm=tol_hty&query=%B7%E7%BD%BA%C7%C3%B6%F3%C0%CC
2	11	223.62.162.1	Android	Chrome/30.0.0.0	22시 21분 19초	http://m.search.naver.com/search.naver?sm=mtb_hty.top&where=m&query=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC%EC%9D%B4
2	10	175.199.0.147	Windows 7	Internet Explorer 7.0	22시 08분 58초	Direct Contact (Typing or Bookmark)
2	9	175.195.86.97	Windows 7	Internet Explorer 7.0	22시 07분 38초	http://search.naver.com/search.naver?where=nexearch&query=%EB%AC%B4%EC%9A%A9+%EC%97%B0%EC%8A%B5%EB%B3%B5&sm=top_sug.pre&fbm=1&acr=1&acq=%EB%AC%B4%EC%9A%A9%EC%97%B0%E3%85%85&qdt=0&ie=utf8
2	8	1.236.163.149	Android	Gecko	22시 01분 58초	http://m.search.naver.com/search.naver?where=m_site&sm=mtb_nmr&query=%EB%A0%88%EC%98%A4%ED%83%80%EB%93%9C&qt=df&start=1&catn=1&xc=&h=&nxhot=0&frm=mr&ctgids=&sort=0&cz=0&ie=utf8
2	7	66.249.79.140	Search Robot	www.google.com	21시 49분 13초	Direct Contact (Typing or Bookmark)
2	6	182.227.155.148	Android	Gecko	21시 25분 46초	http://m.search.naver.com/search.naver?where=m&sm=mob_sug.idx&query=%EB%AC%B4%EC%9A%A9+%EC%97%B0%EC%8A%B5%EB%B3%B5&acq=%EB%AC%B4%EC%9A%A9+%E3%85%87&acr=1&qdt=0
2	5	173.252.73.116	Search Robot	www.facebook.com	21시 12분 54초	Direct Contact (Typing or Bookmark)
2	4	119.149.156.26	Android	Gecko	20시 46분 04초	http://m.search.naver.com/search.naver?sm=mtb_hty.top&where=m&query=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC%EC%9D%B4
2	3	211.36.149.222	Android	Gecko	20시 12분 16초	http://m.search.naver.com/search.naver?query=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC%EC%9D%B4&where=m&sm=mtp_hty
2	2	112.159.205.204	Windows 7	Gecko	19시 34분 49초	http://search.naver.com/search.naver?where=nexearch&query=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC%EC%9D%B4&sm=top_sug.pre&fbm=1&acr=1&acq=%EB%A3%A8%EC%8A%A4%ED%94%84&qdt=0&ie=utf8
2	1	175.116.57.98	Windows 7	Gecko	19시 10분 47초	http://web.search.naver.com/search.naver?where=site&sm=tab_pge&srcharea=0&query=%EB%A0%88%EC%98%A4%ED%83%80%EB%93%9C&start=11&ctgids=&display=10&sort=1&cz=0&ie=utf8&
