1	17	121.180.37.189	Windows 7	Gecko	18시 52분 24초	http://web.search.naver.com/search.naver?where=site&query=%EB%AC%B4%EC%9A%A9%EB%B3%B5&qt=df&start=1&catn=1&xc=&h=&nxhot=0&frm=mr&ctgids=&sort=0&cz=0&ie=utf8&&sm=tab_nmr
1	16	219.252.48.66	Windows 7	Internet Explorer 7.0	19시 02분 19초	Direct Contact (Typing or Bookmark)
1	15	202.30.51.63	Windows 7	Internet Explorer 9.0	19시 38분 51초	Direct Contact (Typing or Bookmark)
1	14	175.213.88.123	Windows 7	Gecko	20시 30분 05초	Direct Contact (Typing or Bookmark)
1	13	118.130.224.251	Mac OS	Gecko	20시 40분 15초	http://web.search.naver.com/search.naver?where=site&sm=tab_pge&srcharea=0&query=%EB%A0%88%EC%98%A4%ED%83%80%EB%93%9C&start=11&ctgids=&display=10&sort=1&cz=0&ie=utf8&
1	12	58.225.154.59	Android	Gecko	20시 59분 12초	http://m.search.naver.com/search.naver?where=m_site&sm=mtb_nmr&query=%EB%A0%88%EC%98%A4%ED%83%80%EB%93%9C&qt=df&start=1&catn=1&xc=&h=&nxhot=0&frm=mr&ctgids=&sort=0&cz=0&ie=utf8
1	11	122.37.237.248	Mac OS	Gecko	21시 06분 04초	Direct Contact (Typing or Bookmark)
1	10	157.56.229.189	Search Robot	www.bing.com	21시 41분 48초	Direct Contact (Typing or Bookmark)
1	9	112.64.235.89	unknown	unknown	21시 43분 26초	Direct Contact (Typing or Bookmark)
1	8	59.24.130.249	Android	Gecko	22시 06분 07초	http://m.search.daum.net/search?w=tot&nil_mtopsearch=suggest&DA=UMEF&q=%EB%8C%84%EC%8A%A4%EC%8A%A4%ED%8F%AC%EC%B8%A0%EC%97%B0%EC%8A%B5%EB%B3%B5&rq=&sq=%EB%8C%84%EC%8A%A4%EC%8A%A4%ED%8F%AC%EC%B8%A0%EC%97%B0%EC%8A%B5&o=2
1	7	183.97.128.84	Windows 7	Gecko	22시 09분 48초	http://search.naver.com/search.naver?sm=tab_hty.top&where=nexearch&ie=utf8&query=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC%EC%9D%B4&x=0&y=0
1	6	223.32.89.72	Android	Chrome/30.0.0.0	22시 12분 00초	http://m.search.naver.com/search.naver?sm=mtb_sug.top&where=m&query=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC%EC%9D%B4&qdt=0&acq=%EB%A3%A8%EC%8A%A4%ED%94%8C%EB%9D%BC%EC%9D%B4&acr=1
2	5	175.204.242.43	Windows 7	Gecko	22시 19분 18초	http://web.search.naver.com/search.naver?where=site&query=%EB%AC%B4%EC%9A%A9%EC%98%B7&qt=df&start=1&catn=1&xc=&h=&nxhot=0&frm=mr&ctgids=&sort=0&cz=0&ie=utf8&&sm=tab_nmr
2	4	211.227.58.133	Windows 7	Gecko	22시 39분 26초	http://search.daum.net/search?w=tot&DA=YZRR&t__nil_searchbox=btn&sug=&sq=&o=&q=%ED%98%84%EB%8C%80%EB%AC%B4%EC%9A%A9+%EC%97%B0%EC%8A%B5%EB%B3%B5
2	3	183.106.4.85	Mac OS	Gecko	22시 50분 38초	http://m.search.naver.com/search.naver?where=m_site&sm=mtb_nmr&query=%EB%A0%88%EC%98%A4%ED%83%80%EB%93%9C&qt=df&start=1&catn=1&xc=&h=&nxhot=0&frm=mr&ctgids=&sort=0&cz=0&ie=utf8
2	2	211.49.217.141	Windows 7	Chrome/34.0.1847.131	23시 17분 35초	Direct Contact (Typing or Bookmark)
2	1	1.232.115.189	Search Robot	www.genieo.com	23시 56분 31초	Direct Contact (Typing or Bookmark)
