1	24	175.206.223.105	Android	Gecko	21시 14분 35초	http://m.search.naver.com/search.naver?where=m&query=%ED%98%84%EB%8C%80%EB%AC%B4%EC%9A%A9%EC%97%B0%EC%8A%B5%EB%B3%B5&sm=mtb_she&qdt=0
1	23	114.207.52.214	Windows XP	Chrome/29.0.1547.66	21시 14분 20초	http://search.naver.com/search.naver?where=site&sm=tab_pge&srcharea=0&query=%EB%AC%B4%EC%9A%A9%EB%B3%B5&start=11&ctgids=&display=10&sort=1&cz=0&ie=utf8&
1	22	59.22.180.68	Windows XP	Internet Explorer 8.0	20시 40분 41초	http://web.search.naver.com/search.naver?where=site&sm=tab_pge&srcharea=0&query=%EB%AC%B4%EC%9A%A9%EB%B3%B5&start=11&ctgids=&display=10&sort=1&cz=0&ie=utf8&
1	21	175.253.12.216	Android	Gecko	20시 09분 52초	http://m.search.naver.com/search.naver?where=m&query=%EB%AC%B4%EC%9A%A9%EC%97%B0%EC%8A%B5%EB%B3%B5&sm=mtb_she&qdt=0
1	20	157.55.35.34	Search Robot	www.bing.com	19시 55분 36초	Direct Contact (Typing or Bookmark)
1	19	211.229.98.78	Windows XP	Internet Explorer 7.0	17시 47분 46초	http://search.daum.net/search?nil_suggest=btn&nil_ch=&rtupcoll=&w=tot&m=&f=&lpp=&DA=SBCO&sug=&sq=&o=&sugo=&q=%ED%98%84%EB%8C%80%EB%AC%B4%EC%9A%A9%EB%B3%B5
1	18	157.55.32.80	Search Robot	www.bing.com	17시 41분 18초	Direct Contact (Typing or Bookmark)
1	17	157.55.32.166	Search Robot	www.bing.com	17시 29분 17초	Direct Contact (Typing or Bookmark)
1	16	14.63.52.180	Windows XP	Internet Explorer 8.0	17시 24분 47초	http://map.naver.com/local/siteview.nhn?code=32990812
1	15	119.192.74.37	Windows 7	Internet Explorer 10.0	17시 22분 20초	http://web.search.naver.com/search.naver?where=site&sm=tab_pge&srcharea=0&query=%EB%A0%88%EC%98%A4%ED%83%80%EB%93%9C&start=11&ctgids=&display=10&sort=1&cz=0&ie=utf8&
1	14	121.175.69.202	Windows 7	Internet Explorer 7.0	17시 05분 39초	http://web.search.naver.com/search.naver?where=site&sm=tab_pge&srcharea=0&query=%EB%AC%B4%EC%9A%A9%EB%B3%B5&start=11&ctgids=&display=10&sort=1&cz=0&ie=utf8&nso=so:r
1	13	157.55.32.75	Search Robot	www.bing.com	11시 37분 04초	Direct Contact (Typing or Bookmark)
1	12	119.64.32.9	Windows XP	Internet Explorer 8.0	11시 18분 48초	http://search.naver.com/search.naver?where=nexearch&query=%ED%98%84%EB%8C%80%EB%AC%B4%EC%9A%A9%EB%B3%B5&ie=utf8&sm=tab_she&qdt=0
1	11	27.1.48.39	Windows 7	Internet Explorer 7.0	10시 27분 30초	http://search.naver.com/search.naver?where=nexearch&query=%EB%AC%B4%EC%9A%A9%EC%97%B0%EC%8A%B5%EB%B3%B5&ie=utf8&sm=tab_she&qdt=0
1	10	112.220.153.254	Windows NT	Internet Explorer 10.0	10시 21분 44초	http://search.daum.net/search?w=tot&m=&q=%ED%98%84%EB%8C%80%EB%AC%B4%EC%9A%A9%EB%B3%B5&nil_profile=jockeytop&nzq=%EB%AC%B4%EC%9A%A9%EB%B3%B5&topq=&DA=SJTO
1	9	157.55.33.47	Search Robot	www.bing.com	16시 55분 36초	Direct Contact (Typing or Bookmark)
1	8	39.117.118.106	Windows 7	Internet Explorer 7.0	16시 48분 41초	http://search.naver.com/search.naver?sm=tab_sug.top&where=nexearch&acq=%ED%98%84%EB%8C%80%EB%AC%B4%EC%9A%A9%EC%97%B0%EC%8A%A4&acr=1&qdt=0&ie=utf8&query=%ED%98%84%EB%8C%80%EB%AC%B4%EC%9A%A9%EC%97%B0%EC%8A%B5%EB%B3%B5&x=0&y=0
2	7	157.55.34.168	Search Robot	www.bing.com	16시 12분 42초	Direct Contact (Typing or Bookmark)
2	6	222.120.84.192	Windows 7	Internet Explorer 9.0	15시 48분 44초	http://search.naver.com/search.naver?sm=tab_hty.btm&where=nexearch&ie=utf8&query=%EB%AC%B4%EC%9A%A9%EC%97%B0%EC%8A%B5%EB%B3%B5&x=0&y=0
2	5	118.32.170.90	Windows XP	Internet Explorer 8.0	15시 35분 23초	http://map.naver.com/local/siteview.nhn?code=32990812
2	4	211.36.143.125	Android	Gecko	15시 28분 16초	http://m.search.naver.com/search.naver?query=%EB%AC%B4%EC%9A%A9%EC%97%B0%EC%8A%B5%EB%B3%B5&where=m&sm=mtp_hty
2	3	14.53.113.129	Android	Gecko	13시 54분 29초	http://m.search.naver.com/search.naver?sm=mtb_sug.top&where=m_site&query=%EB%AC%B4%EC%9A%A9+%EC%97%B0%EC%8A%B5%EB%B3%B5&qdt=0&acq=%EB%AC%B4%EC%9A%A9+%EC%97%B0%EC%8A%B5&acr=1
2	2	223.62.163.82	Android	Chrome/18.0.1025.308	13시 07분 09초	Direct Contact (Typing or Bookmark)
2	1	66.249.77.155	Search Robot	www.google.com	12시 56분 37초	http://www.loosfly.com/shop/member/find_pwd.php
